Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
425,2017-10-27 03:05:25.30,SWITCH,BCSU-2 1A003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C9 FFFF,2017-10-27 03:05:31.77,.
2552,2017-10-27 04:16:02.25,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CE FFFF,2017-10-27 04:16:03.72,.
2553,2017-10-27 04:16:02.48,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 04:16:03.62,.
2554,2017-10-27 04:16:02.51,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:16:03.88,.
1791,2017-10-27 03:43:22.03,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D7 FFFF,2017-10-27 03:43:22.69,.
276,2017-10-27 03:03:11.05,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D5 FFFF,2017-10-27 03:03:11.74,.
426,2017-10-27 03:05:25.38,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C2 FFFF,2017-10-27 03:05:32.09,.
85,2017-10-27 03:00:26.71,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 03:00:31.92,.
2559,2017-10-27 04:16:02.95,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:16:03.75,.
2560,2017-10-27 04:16:03.03,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D7 FFFF,2017-10-27 04:16:03.84,.
9984,2017-10-27 02:58:55.20,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 02:58:59.19,.
2562,2017-10-27 04:16:04.05,TRANSM,ET-588 1A001-10 ERDSUP,2924,REMOTE END CRC,ET 588d 00,2017-10-27 04:17:04.05,.
427,2017-10-27 03:05:25.46,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 03:05:29.43,.
2564,2017-10-27 04:16:13.79,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:16:13.98,.
2565,2017-10-27 04:16:14.72,TRANSM,ET-613 1A001-10 ERDSUP,2924,REMOTE END CRC,ET 613d 00,2017-10-27 04:17:14.72,.
2566,2017-10-27 04:16:22.11,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:16:24.04,.
9985,2017-10-27 02:58:55.43,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C2 FFFF,2017-10-27 02:58:59.58,.
2568,2017-10-27 04:16:22.74,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 04:16:23.74,.
428,2017-10-27 03:05:30.16,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C7 FFFF,2017-10-27 03:05:32.10,.
2570,2017-10-27 04:16:23.05,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CD FFFF,2017-10-27 04:16:23.74,.
2571,2017-10-27 04:16:23.23,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D2 FFFF,2017-10-27 04:16:23.88,.
2572,2017-10-27 04:16:23.35,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:16:23.92,.
9986,2017-10-27 02:58:55.56,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 02:58:59.24,.
2574,2017-10-27 04:16:23.57,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:16:23.86,.
429,2017-10-27 03:05:30.47,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 03F6 FFFF,2017-10-27 03:05:31.66,.
2576,2017-10-27 04:16:32.01,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:16:33.77,.
2577,2017-10-27 04:16:33.61,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:16:33.83,.
2578,2017-10-27 04:16:34.91,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:16:54.09,.
1795,2017-10-27 03:43:22.83,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 03:44:03.10,.
